"Shop Name","Status","Priority","Address","City","State","Shop Type","Phone","Website","Email","Instagram","Notes","Contact Date","Contact Method","Follow Up Date","Contact Person","Owner Name","Referral","Product Interest","Follow Up Event Link","Visit Date","Outcome","Sales Process Notes","Latitude","Longitude","Status Updated By","Status Updated Date"
"iChakras Smart Healing Center","Manager Follow-up","High","398 Main St","Los Altos","CA","Wellness Center","(650) 797-8077","https://www.ichakras.com/","meditate@ichakras.com","","Smart meditation center with metaphysical shop, wellness services, chakra balancing, holistic healing, sound baths, and meditation classes. Open Tue-Sat 12pm-7pm.","2025-11-07","Drop-off","","Chloe (staff)","Crystal","","Retail cacao display (5 bags on consignment)","","2025-11-07","","Dropped off five sample bags with Chloe (staff). Crystal was busy; Chloe will check if they can display the cacao. If not a fit, plan to retrieve the bags. Assume-close approach seemed welcome.","37.3779829","-122.1177077","",""
"Ancient Ways","Manager Follow-up","High","4075 Telegraph Ave","Oakland","CA","Metaphysical/Spiritual","(510) 653-3244","https://www.ancientways.com/","","","Pagan and metaphysical store with herbs, candles, books, ritual supplies, bulk herbs, oils, stones, incense, and readings. Serving Oakland's spiritual community for over 30 years. Community-oriented events and ancient traditions. Open 11am-7pm daily (closed Christmas and New Year's Day).","2025-11-05","In-person","2025-11-12 11:30-12:00","Don (staff)","Sue","Don","","https://www.google.com/calendar/event?eid=ZnViMTc5NTdjZmY1NWE1NmMwMGI2NDYwYmVmMmNhYmI5MzAwMGQ2NmFiIGdhcnlqb2JAYWdyb3ZlcnNlLnNob3A","","","Met with Don (staff). Buyer Sue unavailable; call next Wednesday between 11:30am-12pm.","37.829871","-122.2644831","",""
"Amethyst House","Rejected","High","1639 Meridian Ave","San Jose","CA","Wellness Center","(408) 933-9181","https://www.amethysthousehealing.com/","","","Boutique wellness studio with healing services (Reiki, Coaching, Sound Therapy), boutique with curated tools and gifts. Open Tue-Thu 10am-5pm, Fri 10am-7pm, by appointment other days. Focus on complementary and preventative care.","2025-11-05","Contact form","","","","","","","","","","37.2928292","-121.9138594","",""
"Saia Holistic","Manager Follow-up","High","1645 S Bascom Ave #9","Campbell","CA","Wellness Center","(669) 223-8955","https://saiawholistic.com/","monnaa@saiawholistic.com","","Holistic wellness center. Check website for services and retail offerings.","2025-11-05","Email","","","","","","","","","","37.2935556","-121.932519","",""
"Mystic Flora Apothecary","Manager Follow-up","Medium","1501 El Camino Real Suite F","San Mateo","CA","Metaphysical/Spiritual","(650) 622-4264","https://www.mysticflora.com/","","https://www.instagram.com/mysticflora_apothecary/","Animistic, transcultural apothecary offering teas, ritual tools, community practitioner services, and a self-service tea house. Confirm cacao wholesale fit and scheduling interests.","2025-11-10","In Person","","Astrid","Regina","Astrid","","","","","[11/10/2025 15:29:45 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB] Astrid mentioned to reach out to Regina, the owner of the store fire Instagram","37.5164","-122.2931","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB","2025-11-11T00:57:51.202206+00:00"
"Tokenz","Rejected","Medium","530 Main St","Half Moon Bay","CA","Metaphysical/Spiritual","(650) 712-8457","https://www.tokenzhmb.com/","","","Long-running Half Moon Bay boutique (est. 1982) with global imports: masks, statuary, gemstones, incense, bells, gongs, sarongs. Confirm cacao alignment and wholesale interest.","","","","","","","","","","","[2025-11-08T16:16:56+00:00 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB] I contacted them through their website
More

530 Main St. 
Half Moon Bay, CA 94019","37.4630927","-122.4295534","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB","11/11/2025"
"Garden Apothecary","Not Appropriate","Medium","601 Main St","Half Moon Bay","CA","Metaphysical/Spiritual","","https://gardenapothecary.com/","shop@gardenapothecary.com","","Botanist-formulated skincare/tea apothecary in downtown Half Moon Bay. Organic, small-batch wellness products with in-store workshops and teas. Confirm ceremonial cacao alignment and wholesale options.","","","","","","","","","","","[2025-11-08T15:20:18+00:00 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB] http://www.gardenapothecary.com/
Feel free to email us at shop@gardenapothecary.com 

https://www.instagram.com/gardenapothecary
https://www.facebook.com/gardenapothecary/#

[2025-11-08T16:19:45+00:00 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB] Contacted them via email

[11/10/2025 16:11:52 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB] Literally a garden. Wasn’t obvious in google maps","37.462492","-122.429303","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB","2025-11-11T00:57:51.202206+00:00"
"Go Ask Alice","Manager Follow-up","Medium","1125 Pacific Ave","Santa Cruz","CA","Metaphysical/Spiritual","(831) 469-4372","https://www.goaskalicesantacruz.com/","info@goaskalice.org","","Herbal apothecary and ritual boutique (teas, elixirs, tarot/oracle, decor) open daily 11am-8pm. In-store services include tarot and astrology readings (schedule via practitioners). Verify interest in ceremonial cacao and wholesale options.

[2025-11-12T01:02:51+00:00] Nicolina replied via email requesting more information and is interested in stocking the line.","2025-11-11","Email follow-up","2025-11-14 11:00","Nicolina (Owner)","","","","https://www.google.com/calendar/event?eid=ZnVlZmNlMzg0N2MyYzg0MTlkNTA0YzhiOGZiMWFmZDE4MGEwNzFjNmVkIGdhcnlqb2JAYWdyb3ZlcnNlLnNob3A","","","[2025-11-08T16:22:33+00:00 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB] Just contacted them via email

[2025-11-12T00:55:35+00:00 | Field Follow-up] Nicolina replied by email asking for more information and expressed interest in carrying the line.

[2025-11-12T01:02:51+00:00] Nicolina replied via email requesting more information and is interested in stocking the line.

[2025-11-12T21:13:05.865Z | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB] I popped by just now. She is not around. The staff mentioned she will be around tomorrow instead. Will try to pop by again around that time tomorrow","36.9719889","-122.0256564","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB","11/12/2025"
"Moonstone Metaphysical","Manager Follow-up","High","130 N Santa Cruz Ave","Los Gatos","CA","Metaphysical/Spiritual","(408) 313-4744","https://moonstone-metaphysical.business.site","","https://www.instagram.com/moonstonemetaphysical/","Metaphysical shop offering crystals, candles, incense, and spiritual products. Sister store of Moon Kissed in Santa Cruz.","2025-11-05","Instagram","","","","","","","","","","37.2251574","-121.9822178","",""
"Celestial Trading","Not Appropriate","Medium","85 5th St","Gilroy","CA","Metaphysical/Spiritual","","https://www.celestialtrading.us/","","","Family-owned store offering crystals, metaphysical tools, and spiritual gifts. Also hosts workshops and events. Good fit for ceremonial cacao.","","","","","","","","","","","[2025-11-08T15:40:21+00:00 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB] place only deals with crystals","37.0081752","-121.5704538","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB","11/8/2025"
"Magical Unicorn Crystals","Not Appropriate","Medium","7650 Dowdy St","Gilroy","CA","Metaphysical/Spiritual","","","","","Specializes in crystals and gemstones, promoting positive energy and spiritual well-being. May carry ceremonial products.","","","","","","","","","","","[2025-11-08T15:38:40+00:00 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB] only deals with crystals","37.0090672","-121.5764434","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB","11/8/2025"
"Fremont Natural Foods/Healing","Manager Follow-up","Medium","5180 Mowry Ave","Fremont","CA","Health Food Store","(510) 792-0163","","fremontnatural@gmail.com","https://www.facebook.com/FremontNatural","Natural foods store with healing/wellness products. May have sections for spiritual/wellness items.","2025-11-07","In-person","2025-11-12","Betty","Monica","Betty","","https://www.google.com/calendar/event?eid=ZnUzNzE4OTRmZTljOTcwNzAwMzliMWViYmFiYzliNzVlMGE4NzUyNjE1IGdhcnlqb2JAYWdyb3ZlcnNlLnNob3A","","","Met Betty in-store; Monica (buyer) unavailable. Referred to call Monica next Wednesday.","37.5345172","-121.9996629","",""
"Sublime Journey West Coast","Rejected","High","37485 Niles Blvd","Fremont","CA","Metaphysical/Spiritual","(510) 896-8496","https://shopsublimejourney.com/","yoursublimejourney@gmail.com","","Metaphysical shop offering spiritual tools, crystals, tarot cards, anointing oils, and healing services. Open everyday 11am-6pm. Owner Jacqua Carr provides chakra alignment services. Safe space for spiritual seekers.","2025-11-05","Email","","","","","","","","","","37.577022","-121.9795886","",""
"Queen Hippie Gypsy","Partnered","High","337 14th St","Oakland","CA","Metaphysical/Spiritual","(510) 282-7829","https://www.queenhippiegypsy.com/","Queenhippiegypsy@gmail.com","","Metaphysical/spiritual shop. Store keeper: Lily (Lilly Ayers). Check website for specific offerings and hours.","2025-11-07","Email","","Lilly","Lilly","","","","","","Onboarded. Lilly confirmed partnership and received onboarding email.","37.803137","-122.268591","",""
"The Sanctuary","Manager Follow-up","High","3344 Grand Ave","Oakland","CA","Metaphysical/Spiritual","","https://thesanctuary.energy/","","","Spiritual shop specializing in Ìṣẹ̀ṣe, Lukumí, and Palo traditions. Offers herbal offerings, botànica items, books, crystals, spiritual tools, and spiritual services (readings, cleansings, counseling). Open Wed-Sun 12pm-6pm.","2025-11-05","Phone","2025-11-12","Etecia","Etecia & wife","","Cacao nibs, cacao butter","https://www.google.com/calendar/event?eid=ZnU5MjA5ODYzYTMwNDYxYTNjNGIyNWNmOTE1NjI0YjU1OTEwZTY5NTE0IGdhcnlqb2JAYWdyb3ZlcnNlLnNob3A","","","Spoke with Etecia; she'll speak with her wife. They can use cacao nibs and cacao butter. Follow up via email next Wednesday.","37.8124603","-122.2471791","",""
"Twisted Thistle Apothecary","Rejected","High","4156 Piedmont Ave","Oakland","CA","Metaphysical/Spiritual","(510) 644-3727","https://www.twistedthistleapothecary.com/","weborders.tta@gmail.com","","Apothecary offering ethically grown herbal teas, superfoods, healing products, natural beauty, crystals, tarot/oracle cards, ritual items, and homewares. In-house herbal blends. Open Sun-Thurs 11am-6pm, Fri-Sat 11am-7pm.","2025-11-05","Email","","","","","","","","","","37.8269902","-122.2514675","",""
"The Sacred Well","Not Appropriate","High","536 Grand Ave","Oakland","CA","Metaphysical/Spiritual","","","","","Magical emporium with crystals, herbs, tarot, classes on spirituality. Community-driven approach. Cacao fitting as life-force enhancer.","","","","","","","","","","","","37.8089237","-122.2508367","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB","11/8/2025"
