Telegram Update ID,Telegram Chatroom ID,Telegram Chatroom Name,Telegram Message ID,Contributor Name,Project Name,Contribution Made,Rubric classification,TDGs Provisioned,Status,"TDGs Issued
(reviewed by Governor) ",Status date,"Main Ledger 
Line Number",Scoring Hash Key,Telegram File IDs,Edgar Signature Verification,External API call status,External API call response
Edgar_20251002152359_013,-1002190388985,Edgar Direct,Edgar_20251002152359_014,Edgar,,"[CONTRIBUTION EVENT]
- Type: Time (Minutes)
- Amount: 30
- Description: Firmed up requirements with Robert 
- Contributor(s): Gary Teh
- TDG Issued: 50.00
- Attached Filename: IMG_2875.png
- Destination Contribution File Location: https://github.com/TrueSightDAO/.github/tree/main/assets/contribution_20251002152346_gary_teh_img_2875.png
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB

Request Transaction ID: Fj5cxzaviEzbiokcOvaE9NBdhwXyNdqR6UE07PFPGjwwBT8TlAA394JuCNXxDYRfYobMPa2IEfqpNcAKazAicQ5XV2CBkNuZ+N5KIQ8I6pCCgEy1f66LtNj0Itb6uNT/MM8CfLlq+TPYr/IWVmk3IcpN3Sz4Cj6I7MuZNCJZOnono3EzKtJtRHZIONPqH9prXCsMakB1/uOElu1DXJtXS/sU4n7LRLnhsKu/+wXkwSv+fGuIyNc3vmz4ot5oUOgMdrbCSQGvoRZnFzR3dSG/lxy6msXiW6b8rn/3zHy9fs2rRBBuuUNTyWH0uzYrM9JLHP9ptGtpnuuzXtaKcfq11Q==

This submission was generated using https://dapp.truesight.me/report_contribution.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251002,,jtjZDK/IMBDiGiY+FYRi,,success,,
Edgar_20251002152434_015,-1002190388985,Edgar Direct,Edgar_20251002152434_016,Edgar,,"[CONTRIBUTION EVENT]
- Type: Time (Minutes)
- Amount: 30
- Description: Onboarded Marta and Marco
- Contributor(s): Gary Teh
- TDG Issued: 50.00
- Attached Filename: IMG_2877.png
- Destination Contribution File Location: https://github.com/TrueSightDAO/.github/tree/main/assets/contribution_20251002152431_gary_teh_img_2877.png
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB

Request Transaction ID: Mi22vhyDse5aZaDi5Nlw+MYrDAVmCasUL/VDD3yY1jef7MKyMfDZeGw05xnCkIdvvadXvoWgcp6ansDph6rEwH/F36jAgzLRwwWpIhqdKdnPsBG0qlK8FcRtSP//QFzlG/z5+jWwFaivxBNiUDxaWeoajF1ALdUzpy4NXByGhDTWARQLuGlQVN7DIa2RiT3EflsUPVg0Yt2N5UfbJU5KeWcjT8O07h/mEDUGZeHqYhsIq69X7+A9GbFh+kzkI6mwjcOMRuXu3bwW5W5Mmku9DIBSTCNfccu7J/7E724WuBbMZvneDeSKOfxB8tkkSwk70/5CS5QwR/OOb+5PWoK0Ug==

This submission was generated using https://dapp.truesight.me/report_contribution.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251002,,Y4UM98RoI9/SJKsDWyGf,,success,,
Edgar_20251002152525_017,-1002190388985,Edgar Direct,Edgar_20251002152525_018,Edgar,,"[CONTRIBUTION EVENT]
- Type: Time (Minutes)
- Amount: 5
- Description: Follow up with Hans Martin
- Contributor(s): Gary Teh
- TDG Issued: 8.33
- Attached Filename: IMG_2878.png
- Destination Contribution File Location: https://github.com/TrueSightDAO/.github/tree/main/assets/contribution_20251002152511_gary_teh_img_2878.png
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB

Request Transaction ID: LspESIeu+GV1qfy4dtcKcMDgB4ut2P7lSdBMV8TzEzG5gTYkv7BxhC/L/ZHq4X0p4tzKWSXf0vjlUMgTDeLHBk5gmZ/SWNzJ0Tl6yNJG5E1XzbF7eI/jLNukQZmrUcRNCWtI8C7tW30ktbyGCrCopE/4udxKgpzGkqaEb4JB1HaY19J30R3+5uE9zsyfQTCBLPzUc/JRmi2YxkXKjg9p5Qu5apkfzkEBSOGIX4kyO4Gp9fs1Ba5jH0Z+PhiLi8RJiwaXBJ96Kv5megRIqzD17oOuRed/TwFMyZmYYmQJ88hWeutgwdOokQcIHnycC/K6UgncZR672Rwcy4stFu9lYA==

This submission was generated using https://dapp.truesight.me/report_contribution.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251002,,Z3bzQR0IPOMqrD5FJv/q,,success,,
Edgar_20251002152558_019,-1002190388985,Edgar Direct,Edgar_20251002152558_020,Edgar,,"[CONTRIBUTION EVENT]
- Type: Time (Minutes)
- Amount: 60
- Description: Onboarding HauCacau to our network 
- Contributor(s): Gary Teh
- TDG Issued: 100.00
- Attached Filename: None
- Destination Contribution File Location: No file attached
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB

Request Transaction ID: reGQnt4shYDhktX4Weyw3q+LpJqEObi3FhSmYUp1UDxKYSeAoYn+CSs1t9bprU8Ple2VX1NiKfklBJR+DTVZvyVNcj5fkoKJTmfxcELhvu+jQUBf1wtSsDQjN4aQbMQFf97D6uvQYAcN9QSBILobdFiP8I76KOqACtuGLFE8eOapjUJdT4OeUgEL3n/lL2ae1OOYHu6vTJnsrdDfMA0NPsw4SKwp1CoUTxfrXvtWoxr3G4vICz2Nsxzu2/Ydi3jes41fh970qGlCEWiFbridLwFRVVA8qP9ihdF5GFr6sbYficy6RICqoP2L1DVbwI0ZtFgVenQ8+ipkf9RT8DX+KA==

This submission was generated using https://dapp.truesight.me/report_contribution.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251002,,cZfAROYdbPz3dYbPn7Ze,,success,,
Edgar_20251002183536_021,-1002190388985,Edgar Direct,Edgar_20251002183536_022,Edgar,,"[CONTRIBUTION EVENT]
- Type: Time (Minutes)
- Amount: 45
- Description: Roasting machine USD$380 https://www.alibaba.com/x/B0pY5j?ck=pdp Winnowing and cracking machine USD$800 https://www.alibaba.com/x/B0pY6R?ck=pdp Melanger for turning Nibs into Cacao Liquor USD$650 https://www.alibaba.com/x/B0pYei?ck=pdp Mini fridge USD$89 https://www.alibaba.com/x/B0pYfn?ck=pdp researching costing to replicate Santos setup. As well as cost benefit analysis of the option for going fully integrated 
- Contributor(s): Gary Teh
- TDG Issued: 75.00
- Attached Filename: None
- Destination Contribution File Location: No file attached
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB

Request Transaction ID: fqEQs5hi0v18qWL+nu3fiQNj6/qFg9XSeuiSETZ/e7mmj+701P433pLPvmWUUDqzvzj7tUKygTHIdZ7dTZ9U2EwZKbUjSW1Iz3+vC6MIVT+YSSuv45KoX+glEIB2O0uCYjcpregRspyOt/HXM+WPDZ8Pj/lfrbTUzOm5XLn0sR0V/T3PYJfDPQLM2xUnBcS3ARwr4vFB/bcQi3Q2njCItmolnPo+ec4N2vfgu+qslz5UMFN1GpTsoNtUucAUG0Xw/BJM6LkpCes0PdcqPNzgaVJecymRX/Plpc5znzaoL4veHT6ZRWx5JmMf+IN5WXw2m2E5fFdJadbQ1XW6ArclfQ==

This submission was generated using https://dapp.truesight.me/report_contribution.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251002,,SmOtMCHeT1OGSdf0q12N,,success,,
Edgar_20251003023237_023,-1002190388985,Edgar Direct,Edgar_20251003023237_024,Edgar,,"[CAPITAL INJECTION EVENT]
- Ledger: AGL8
- Ledger URL: https://docs.google.com/spreadsheets/d/1pdI1lMChyD2-3mEaQr8krkzQUeFQ60JMz57IbfO-qLE/edit?gid=2133986329
- Amount: $0 USD
- Description: Something we are testing right now
- Attached Filename: santos_invoice_batch_2.pdf
- Destination Capital Injection File Location: 
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB

Request Transaction ID: ePmRZoAhjIDvVkTStt4in+WT4Ly2wUWxeH1LSoCKxyGCOie/C6uEadkyUrVX0NneCqVoLmqjzqRD4pCnWjzzwi9oKShq8GFSSxov3P/sJJuDkexLZVYx2COUwyqOlBfIp6VQQvAku5iym8tfXRQvtc2u3JEKUOajfNUqFREj+nMaI4M7ltSQDknJql71k5du4J2m5KYsCiPKzsppPfPW0H+AwO6efa5L4O128E2pabyGXWHWNj+0ZV1xP5MduzdrbCFH1oPh7LRG9ayzwV/U4veNQKuzUTHar74z5JkVGgxYQwBLCX3ecxrqzxTBd107rKtfUUH6uWHg+Yt2zSAlxQ==

This submission was generated using file:///Users/garyjob/Applications/dapp/report_capital_injection.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251003,,vG31th91SVbwNpnkes0S,,success,,
Edgar_20251003023713_025,-1002190388985,Edgar Direct,Edgar_20251003023713_026,Edgar,,"[CAPITAL INJECTION EVENT]
- Ledger: AGL8
- Ledger URL: https://docs.google.com/spreadsheets/d/1pdI1lMChyD2-3mEaQr8krkzQUeFQ60JMz57IbfO-qLE/edit?gid=2133986329
- Amount: $0 USD
- Description: Something we are testing right now
- Attached Filename: santos_invoice_batch_2.pdf
- Destination Capital Injection File Location: 
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB

Request Transaction ID: ePmRZoAhjIDvVkTStt4in+WT4Ly2wUWxeH1LSoCKxyGCOie/C6uEadkyUrVX0NneCqVoLmqjzqRD4pCnWjzzwi9oKShq8GFSSxov3P/sJJuDkexLZVYx2COUwyqOlBfIp6VQQvAku5iym8tfXRQvtc2u3JEKUOajfNUqFREj+nMaI4M7ltSQDknJql71k5du4J2m5KYsCiPKzsppPfPW0H+AwO6efa5L4O128E2pabyGXWHWNj+0ZV1xP5MduzdrbCFH1oPh7LRG9ayzwV/U4veNQKuzUTHar74z5JkVGgxYQwBLCX3ecxrqzxTBd107rKtfUUH6uWHg+Yt2zSAlxQ==

This submission was generated using file:///Users/garyjob/Applications/dapp/report_capital_injection.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251003,,vG31th91SVbwNpnkes0S,,success,,
Edgar_20251003024329_027,-1002190388985,Edgar Direct,Edgar_20251003024329_028,Edgar,,"[CAPITAL INJECTION EVENT]
- Ledger: AGL8
- Ledger URL: https://docs.google.com/spreadsheets/d/1pdI1lMChyD2-3mEaQr8krkzQUeFQ60JMz57IbfO-qLE/edit?gid=2133986329
- Amount: $0 USD
- Description: Testing capital injection into AGL8
- Attached Filename: santos_invoice_batch_2.pdf
- Destination Capital Injection File Location: https://github.com/TrueSightDAO/.github/tree/main/assets/capital_injection_1759459408481_santos_invoice_batch_2.pdf
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB

Request Transaction ID: hI2frnvE5Jc6HcYCE67lvUpD6eRap8ENwgQSqywxkLOoWz/lmBl4iuVwDc3VtOO0eliBJ26WHJcH1h9/dpRTBMKLDYz9EbLoMVlUyhbITnxNVv8w+txQkS06Lr4Wbdo4iOo2XJbsJMwskHKgIN6Az/+R7uazmbiHoC30IsVljdTkAMRrk1X3WKigkbtM7eO32QQjeH1Bz0oGcEO4yGECIRaYW4ro5MAbEcIcyPmYfsr2d6ahGxIm1n1CTESH3apCs2JLliG7Z6J8s8dbETRmW7e0qwxXkKiWSD8ay+KqHPElwRzl4t7G8Z+FylktboLB0OT/AUwVJ+8TJqeZgdHICw==

This submission was generated using file:///Users/garyjob/Applications/dapp/report_capital_injection.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251003,,SueX1e8UIUqv/Dur0OjW,,success,,
Edgar_20251003025009_029,-1002190388985,Edgar Direct,Edgar_20251003025009_030,Edgar,,"[CONTRIBUTION EVENT]
- Type: Time (Minutes)
- Amount: 60
- Description: Extended DApp to allow reporting of capital injection into ledger https://github.com/TrueSightDAO/dapp/pull/87 https://github.com/TrueSightDAO/tokenomics/pull/143
- Contributor(s): Gary Teh
- TDG Issued: 100.00
- Attached Filename: None
- Destination Contribution File Location: No file attached
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA54jNZdN4xkaPDI9TB/RwuicbbUMvttOWSTVRfvZxiHWeIoqTHRz2WJdoGsuW9rz9QPbpz6T9zQZu3RNzsSF216U3aCd89R2g7qhOMh9VC+7+sNJnI6H4qPPKFbndxQD8262Q+zqYQR6r0k89mud1sYbla/DCtKAcGZsALihVyl8tF2v1rUzfPU9FHpi5ow2kOEpVxnhe6xEY1HDU/zuFRt707WzkG1zit4AWEBXyBd3YLyinPNAb2aBA6dSPnPAQ4aB46Dtis3p5DgkLeO7E4gh/E0BqViDkkB1tLy1dgy9Kjv+5zxo1yTxkBKACjqqo69Q0VrUfkXgegWmXBAu04wIDAQAB

Request Transaction ID: wXWnccxTZhISU6sEOCpYv4OGcVq5dR+F4AIefhwob8uJg2TuHdrHxgk1Rv1J8m+SdmarUzH0eJggjQW4KMlrS1FI49CqIO+ka4RJroif1lum3M6VnfrLAvcyXSFz7MatsOswuEIUpS/YqqTGBH7FkW0G7k1t0naAHtgmJZWwuogtHPaaM5tvb8HscO3/ok4YoV7/XhLQEqVV/RtY7ERmMWb9P1ibmXDsnJUSl5bch50kq/OFVAvC1txNM8g6DPaEpLYZ1z4j1xyT4Tuiy/06lSCaWgK/CFRNO5wPf7WGCJfgaIfkG8URX7qVrfwDOiD6lq0ZIVrm9Ap1H0s6Ox7l3g==

This submission was generated using https://dapp.truesight.me/report_contribution.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251003,,OVaFJpbWKbhxSVgrP58A,,success,,
Edgar_20251003030257_031,-1002190388985,Edgar Direct,Edgar_20251003030257_032,Edgar,,"[CONTRIBUTION EVENT]
- Type: Time (Minutes)
- Amount: 15
- Description: Scheduled this reel b1a49285 with the help of Cursor.ai and Grok
- Contributor(s): Gary Teh
- TDG Issued: 25.00
- Attached Filename: None
- Destination Contribution File Location: No file attached
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA54jNZdN4xkaPDI9TB/RwuicbbUMvttOWSTVRfvZxiHWeIoqTHRz2WJdoGsuW9rz9QPbpz6T9zQZu3RNzsSF216U3aCd89R2g7qhOMh9VC+7+sNJnI6H4qPPKFbndxQD8262Q+zqYQR6r0k89mud1sYbla/DCtKAcGZsALihVyl8tF2v1rUzfPU9FHpi5ow2kOEpVxnhe6xEY1HDU/zuFRt707WzkG1zit4AWEBXyBd3YLyinPNAb2aBA6dSPnPAQ4aB46Dtis3p5DgkLeO7E4gh/E0BqViDkkB1tLy1dgy9Kjv+5zxo1yTxkBKACjqqo69Q0VrUfkXgegWmXBAu04wIDAQAB

Request Transaction ID: P0BqWLDEbx7CW33/Tq745ita6MzKmQEbQwihjgr7+eADYPUIwDyhE+7rtn4+FrWYHpTy7oXPYs1qBTp8AiZv8bV9rEZEd1WKUgjUhqfbYO1VZkQ6OWpRCxZ72hIr9I6oRuohw9C/xxdurVGuXCNIY9QONpuRxRLZJ2IHrs7gv1I9ckaNuCDkDKYX/hD/N4fN/63rH5IjPHOxwVGKcMNsAPpi6icZkIHIYgujNZbb90Hz8wOXfWpkXH5cotqCTnbYCrvQiT9K9Ecg/Jou9xANvl8MtZ11JLw4TZ4ebBC7ldvpkMARIwGAW/rZvS0ekAmC3yTm6tJy8sZ7oDIe4FsPcQ==

This submission was generated using https://dapp.truesight.me/report_contribution.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251003,,RQZAW2Ir42GMQKAnAup0,,success,,
Edgar_20251003031138_033,-1002190388985,Edgar Direct,Edgar_20251003031138_034,Edgar,,"[CONTRIBUTION EVENT]
- Type: Time (Minutes)
- Amount: 15
- Description: Fixed Dashboard formula error https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=2083442561#gid=2083442561
- Contributor(s): Gary Teh
- TDG Issued: 25.00
- Attached Filename: None
- Destination Contribution File Location: No file attached
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA54jNZdN4xkaPDI9TB/RwuicbbUMvttOWSTVRfvZxiHWeIoqTHRz2WJdoGsuW9rz9QPbpz6T9zQZu3RNzsSF216U3aCd89R2g7qhOMh9VC+7+sNJnI6H4qPPKFbndxQD8262Q+zqYQR6r0k89mud1sYbla/DCtKAcGZsALihVyl8tF2v1rUzfPU9FHpi5ow2kOEpVxnhe6xEY1HDU/zuFRt707WzkG1zit4AWEBXyBd3YLyinPNAb2aBA6dSPnPAQ4aB46Dtis3p5DgkLeO7E4gh/E0BqViDkkB1tLy1dgy9Kjv+5zxo1yTxkBKACjqqo69Q0VrUfkXgegWmXBAu04wIDAQAB

Request Transaction ID: hTp7ZKQ02S6kcv8lEL60RrfIqCNDDBhzPiV/jc7Wc04C0BrFyRUAbKmT2VMpLQ809ESM/+HMmJp/TPGcp89jaUhorF22gcTs83C8cdh2bOtOJEIwlceP5pvGuUQMCs6fdfijSaJlaZwDUJDTvf3C6Bu8wR587tG8eTf2AXNCgkm5LiXrXOLmpvDdA2k70/JgLT2y7GfKzUTuU7SiY6HbTcIgxWvKizmahkzwR4VSGjXVjMi8MOK+2nML/oiICI+Bw++sCcBf4otgSKZGw5Qhyx/UEHDHrLRI6hYRlkAf85vx29eMUPSSAwGvoYd87oKP3sDlNodxInUMVpDjluxAjQ==

This submission was generated using https://dapp.truesight.me/report_contribution.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251003,,wSuSJY2lXpbBtC4xLHiM,,success,,
Edgar_20251003135223_035,-1002190388985,Edgar Direct,Edgar_20251003135223_036,Edgar,,"[CONTRIBUTION EVENT]
- Type: Time (Minutes)
- Amount: 15
- Description: Onboarding Michael to our DAO 
- Contributor(s): Gary Teh
- TDG Issued: 25.00
- Attached Filename: IMG_2893.png
- Destination Contribution File Location: https://github.com/TrueSightDAO/.github/tree/main/assets/contribution_20251003135221_gary_teh_img_2893.png
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB

Request Transaction ID: 0KAg5kO5IeIuq3y4wHDBHddNPXYPTcdcc1x/4qkEF5sQmifyviqSAylegnYj+m2fnCp/UzveXOEbwaFQ0GCMRoTZn5ZDKdZ4/GdLONkzk6dPUyV13rZG6fkDNzhVQzCz7IGRwXns8/SCx+peUm4Y5vRtiOvLT+lsZqif6VBRHyxLlDUqPwbOvwEsqMma3BHDDkoj+gjI28t0LPtyhuHK//alpH+cEbJVEmSZDYVog/J/yM7ZbKp8pxz1CuoTKNb4XIKFMU8wMaFaJzWi5wu+nyyJZKiZCYoq9f1oH8i544wQPWVhIuwvGxT6h76mG+Vf3N/4c1scQX0uuUPm7Mnqpw==

This submission was generated using https://dapp.truesight.me/report_contribution.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251003,,1wKbKhavoLQfBJOVz/TL,,success,,
Edgar_20251003170825_037,-1002190388985,Edgar Direct,Edgar_20251003170825_038,Edgar,,"[CONTRIBUTION EVENT]
- Type: Time (Minutes)
- Amount: 60
- Description: Providing onboarding support with Hans Marin
- Contributor(s): Hans Martin Heierling
- TDG Issued: 100.00
- Attached Filename: None
- Destination Contribution File Location: No file attached
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA54jNZdN4xkaPDI9TB/RwuicbbUMvttOWSTVRfvZxiHWeIoqTHRz2WJdoGsuW9rz9QPbpz6T9zQZu3RNzsSF216U3aCd89R2g7qhOMh9VC+7+sNJnI6H4qPPKFbndxQD8262Q+zqYQR6r0k89mud1sYbla/DCtKAcGZsALihVyl8tF2v1rUzfPU9FHpi5ow2kOEpVxnhe6xEY1HDU/zuFRt707WzkG1zit4AWEBXyBd3YLyinPNAb2aBA6dSPnPAQ4aB46Dtis3p5DgkLeO7E4gh/E0BqViDkkB1tLy1dgy9Kjv+5zxo1yTxkBKACjqqo69Q0VrUfkXgegWmXBAu04wIDAQAB

Request Transaction ID: iAkZwZ9PNPMujjJEl6PM8mRf6QdhpQiucjNrnY35/ngUxR9ZmhsiYLfHqEPcLY1R7CeAfWkcLisMyjSKgjtzEwKuFfs2KX6jdFn/5MmMeCz7krXsv03avMjm0tGh6VO88NazQbWJSj7mjR6hYyIMnb7eTbDYrOI29tjcCzeobcHCmvRpEGkJddAZuuHa6vQCtgG0P+nRXX3iBl/HNqmqo0OIGnePWJ9gzfwvUZ7i3fW+UEFXpWaGvsUWu582BpPDjnZgPwsSfY+wuGmp1swey++yMIBJeCPhWsspctH4Ts/nItpQP/RVN+XDSPi8zKvyxNo8aVG99bBAUtjIPeRoQw==

This submission was generated using https://dapp.truesight.me/report_contribution.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251003,,oakBukbrLXRTDYqvGjEL,,success,,
